observation_date	RAILFRTCARLOADS
2000-01-01	1402926
2000-02-01	1341942
2000-03-01	1452147
2000-04-01	1386030
2000-05-01	1440661
2000-06-01	1390222
2000-07-01	1377790
2000-08-01	1473014
2000-09-01	1427099
2000-10-01	1489125
2000-11-01	1346909
2000-12-01	1298609
2001-01-01	1378715
2001-02-01	1272599
2001-03-01	1457199
2001-04-01	1390615
2001-05-01	1436953
2001-06-01	1382844
2001-07-01	1331669
2001-08-01	1444314
2001-09-01	1387189
2001-10-01	1489178
2001-11-01	1376611
2001-12-01	1323085
2002-01-01	1362045
2002-02-01	1252632
2002-03-01	1373143
2002-04-01	1359576
2002-05-01	1408401
2002-06-01	1392903
2002-07-01	1363443
2002-08-01	1467852
2002-09-01	1395757
2002-10-01	1462330
2002-11-01	1359625
2002-12-01	1326501
2003-01-01	1348631
2003-02-01	1232970
2003-03-01	1400506
2003-04-01	1362930
2003-05-01	1402692
2003-06-01	1370794
2003-07-01	1357086
2003-08-01	1450003
2003-09-01	1410429
2003-10-01	1491289
2003-11-01	1380233
2003-12-01	1349155
2004-01-01	1391261
2004-02-01	1318895
2004-03-01	1460107
2004-04-01	1422511
2004-05-01	1475594
2004-06-01	1411047
2004-07-01	1405130
2004-08-01	1478446
2004-09-01	1408654
2004-10-01	1509119
2004-11-01	1408453
2004-12-01	1367589
2005-01-01	1396793
2005-02-01	1342757
2005-03-01	1493052
2005-04-01	1460039
2005-05-01	1466477
2005-06-01	1412640
2005-07-01	1404879
2005-08-01	1485201
2005-09-01	1438698
2005-10-01	1470099
2005-11-01	1392562
2005-12-01	1375654
2006-01-01	1464556
2006-02-01	1312500
2006-03-01	1493547
2006-04-01	1446164
2006-05-01	1521036
2006-06-01	1464781
2006-07-01	1428970
2006-08-01	1501964
2006-09-01	1445002
2006-10-01	1493349
2006-11-01	1378183
2006-12-01	1398361
2007-01-01	1370575
2007-02-01	1255311
2007-03-01	1442822
2007-04-01	1413587
2007-05-01	1446592
2007-06-01	1429982
2007-07-01	1391260
2007-08-01	1485342
2007-09-01	1431666
2007-10-01	1487803
2007-11-01	1412571
2007-12-01	1357746
2008-01-01	1387897
2008-02-01	1335398
2008-03-01	1445693
2008-04-01	1423939
2008-05-01	1451560
2008-06-01	1372686
2008-07-01	1422554
2008-08-01	1474209
2008-09-01	1373620
2008-10-01	1445066
2008-11-01	1274531
2008-12-01	1153403
2009-01-01	1162973
2009-02-01	1105996
2009-03-01	1193910
2009-04-01	1095354
2009-05-01	1105635
2009-06-01	1105098
2009-07-01	1176457
2009-08-01	1236764
2009-09-01	1180775
2009-10-01	1220057
2009-11-01	1169623
2009-12-01	1095082
2010-01-01	1160442
2010-02-01	1091829
2010-03-01	1279724
2010-04-01	1260954
2010-05-01	1272845
2010-06-01	1215864
2010-07-01	1244915
2010-08-01	1310410
2010-09-01	1271475
2010-10-01	1322853
2010-11-01	1227151
2010-12-01	1195311
2011-01-01	1254585
2011-02-01	1146300
2011-03-01	1320070
2011-04-01	1264678
2011-05-01	1276671
2011-06-01	1229632
2011-07-01	1234426
2011-08-01	1312456
2011-09-01	1280972
2011-10-01	1345498
2011-11-01	1257921
2011-12-01	1268018
2012-01-01	1267256
2012-02-01	1167610
2012-03-01	1244739
2012-04-01	1192250
2012-05-01	1237395
2012-06-01	1216288
2012-07-01	1227468
2012-08-01	1296307
2012-09-01	1234535
2012-10-01	1262848
2012-11-01	1205969
2012-12-01	1201630
2013-01-01	1192314
2013-02-01	1110548
2013-03-01	1239149
2013-04-01	1190406
2013-05-01	1241624
2013-06-01	1210146
2013-07-01	1226158
2013-08-01	1301948
2013-09-01	1239309
2013-10-01	1280690
2013-11-01	1229055
2013-12-01	1184768
2014-01-01	1201520
2014-02-01	1098607
2014-03-01	1282488
2014-04-01	1269684
2014-05-01	1313273
2014-06-01	1255383
2014-07-01	1307467
2014-08-01	1339869
2014-09-01	1278100
2014-10-01	1335832
2014-11-01	1250050
2014-12-01	1288684
2015-01-01	1272443
2015-02-01	1089174
2015-03-01	1236088
2015-04-01	1202758
2015-05-01	1192699
2015-06-01	1156485
2015-07-01	1227312
2015-08-01	1279486
2015-09-01	1211041
2015-10-01	1249083
2015-11-01	1119467
2015-12-01	1082287
2016-01-01	1062112
2016-02-01	1014985
2016-03-01	1057654
2016-04-01	1012381
2016-05-01	1058600
2016-06-01	1073479
2016-07-01	1139143
2016-08-01	1192602
2016-09-01	1146142
2016-10-01	1184052
2016-11-01	1123870
2016-12-01	1091370
2017-01-01	1106215
2017-02-01	1035202
2017-03-01	1126912
2017-04-01	1089556
2017-05-01	1134834
2017-06-01	1129103
2017-07-01	1129179
2017-08-01	1184965
2017-09-01	1113057
2017-10-01	1173743
2017-11-01	1106644
2017-12-01	1102229
2018-01-01	1074022
2018-02-01	1028163
2018-03-01	1164406
2018-04-01	1126657
2018-05-01	1171733
2018-06-01	1152587
2018-07-01	1168482
2018-08-01	1226049
2018-09-01	1145301
2018-10-01	1183163
2018-11-01	1109139
2018-12-01	1124343
2019-01-01	1106095
2019-02-01	997818
2019-03-01	1064444
2019-04-01	1120790
2019-05-01	1142717
2019-06-01	1088710
2019-07-01	1118656
2019-08-01	1169165
2019-09-01	1063191
2019-10-01	1083582
2019-11-01	1025480
2019-12-01	1020830
2020-01-01	1038813
2020-02-01	962057
2020-03-01	989919
2020-04-01	836433
2020-05-01	821331
2020-06-01	849366
2020-07-01	927800
2020-08-01	992610
2020-09-01	956719
2020-10-01	1012032
2020-11-01	969903
2020-12-01	973999
2021-01-01	1020270
2021-02-01	825664
2021-03-01	1024084
2021-04-01	1015992
2021-05-01	1064035
2021-06-01	1008919
2021-07-01	1006272
2021-08-01	1032286
2021-09-01	1000694
2021-10-01	1049746
2021-11-01	993789
2021-12-01	996958
2022-01-01	995642
2022-02-01	921210
2022-03-01	1035022
2022-04-01	986098
2022-05-01	1025945
2022-06-01	993992
2022-07-01	1006859
2022-08-01	1053483
2022-09-01	998572
2022-10-01	1055070
2022-11-01	989811
2022-12-01	983278
